MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,RL,114.59905553903936,12976.322829335635,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,SLvl,7,5,2018.02276334327,1997.9671415589655,Gable,CompShg,VinylSd,VinylSd,BrkFace,136.76738845277168,Gd,TA,PConc,Gd,TA,No,GLQ,573.2643619296243,Unf,0.0,738.6471918656179,1009.6259532611195,Floor,Ex,Y,SBrkr,892.9001399102189,785.9109264213155,9.19864693483759,1745.422665421123,0,0,2,1,3,1,Ex,7,Maj1,1,,Attchd,2016.2977427909893,RFn,2,522.6993772007023,TA,TA,Y,0.0,96.32415842700713,24.723704906658853,255.88282058308033,0.0,0.0,,,,296.2493428178838,5,2008,ConLD,Normal,155664.57016729956
80,RL,66.95934836281808,15594.194524957562,Pave,,IR2,Bnk,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2.5Fin,5,8,1940.1007770098672,1994.5199364211796,Gable,CompShg,Wd Sdng,Wd Sdng,None,183.57582335578846,TA,TA,PConc,TA,TA,No,LwQ,891.8483127791897,Unf,198.8611974170332,234.66330260399135,453.22351294497275,GasA,Ex,Y,SBrkr,998.3535981585379,464.358378410753,427.3581952307299,2372.782820795214,0,0,2,1,4,1,Gd,8,Min1,1,Gd,Detchd,1951.179078798978,Unf,1,379.7429751492499,Po,TA,N,244.14408143487418,34.96403836267694,8.195455003921595,15.525909430993288,0.0,0.0,,,,254.00889707553927,7,2008,ConLD,Normal,192977.2322272806
20,RL,,12391.795255016712,Pave,,IR3,Lvl,AllPub,FR3,Gtl,Sawyer,RRNn,Norm,1Fam,1Story,5,5,1959.3924209187646,1971.9142063846175,Gable,WdShake,MetalSd,MetalSd,BrkFace,31.0,TA,Gd,CBlock,Ex,Po,,BLQ,163.94682363180175,,130.753960498448,135.00957949737818,1001.2230680423793,Wall,TA,Y,SBrkr,989.8739628026058,265.6959729134249,0.0,1312.0520134681205,0,0,1,0,3,1,TA,5,Sev,0,,Detchd,1960.10411675683,RFn,1,317.91662101420377,TA,Fa,Y,20.40682618832127,11.168309785805581,0.0,22.70311416994054,59.67925558105147,0.0,,MnPrv,,188.14381690256738,2,2010,WD,Normal,142885.1678958223
50,RM,24.568303462445456,1936.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2.5Unf,4,6,1991.4757398389966,1971.7218798918123,Gable,CompShg,CemntBd,CmentBd,Stone,62.58590164209835,TA,TA,CBlock,Fa,TA,Av,BLQ,85.09609459990534,GLQ,395.8974053804709,0.0,302.63718947887475,Grav,Gd,Y,Mix,507.7434003438684,53.37896003041379,35.89538160054413,650.802496591684,1,0,1,0,1,1,TA,3,Typ,0,,,,,0,0.0,,Ex,Y,0.0,0.0,39.56592781811069,8.183378810098374,23.60514120798397,34.64005567782759,,MnPrv,,0.0,12,2007,WD,Normal,84625.21688411024
20,RL,,25084.792141051443,Pave,,IR3,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1971.1093177864195,1967.4761981422073,Hip,CompShg,VinylSd,Plywood,BrkFace,243.58880967141914,TA,Po,CBlock,TA,,No,Rec,1004.7125316871534,Rec,48.58397145753328,400.5733096023306,1241.0252884815882,GasA,Fa,Y,SBrkr,1302.9971152319479,225.0494734097314,0.0,717.4190572391431,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1994.0598141726412,RFn,2,363.55944274752636,TA,TA,Y,14.84822378035813,0.0,40.089628141696956,7.065954303777176,61.99720773689166,0.0,,GdPrv,,0.0,5,2010,COD,Abnorml,131905.5094802186
60,RL,79.86860139290145,6765.873906566727,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,RRAe,1Fam,2Story,8,5,2007.3802353750214,2037.311523641446,Gable,CompShg,AsbShng,VinylSd,Stone,325.80802674061516,Gd,TA,PConc,Ex,TA,Gd,LwQ,1478.8436673724468,Unf,0.0,56.39891952023828,1647.5531184473336,GasA,Ex,Y,SBrkr,1638.2326278615935,714.3141814613585,0.0,2100.5198480403296,1,0,1,1,3,1,Ex,8,Min1,1,Po,Attchd,1999.3361198751254,Unf,3,732.2947814193842,TA,TA,N,191.50730321738055,124.33230141327718,0.0,0.0,0.0,0.0,,,TenC,200.80362398279775,11,2007,New,AdjLand,285921.19113260304
60,FV,79.19169082209,6589.505897190997,Pave,,Reg,Bnk,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,SFoyer,8,5,1995.0412884164282,1985.43921410516,Flat,Metal,VinylSd,AsbShng,BrkFace,267.4968318590727,Gd,TA,PConc,Gd,TA,No,Unf,82.57983306402615,Unf,53.8783466414605,1072.6438845966052,1255.3472834836093,GasA,Ex,Y,SBrkr,1170.6157090284019,1511.8315658277002,11.069974119502598,2220.3569714058585,0,0,2,1,4,1,Ex,10,Typ,1,Gd,BuiltIn,1995.0619005658457,Fin,3,581.2877468976442,TA,TA,Y,37.19970441854656,85.25819028323383,0.0,0.0,0.0,0.0,,MnPrv,,162.01493984173942,5,2007,WD,Normal,307223.95806182025
160,FV,14.203558512448192,3180.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,RRNe,Norm,TwnhsE,2Story,7,5,2011.5190314254069,1988.7994865342407,Gable,WdShake,MetalSd,AsphShn,None,65.52201253860669,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,744.0677842492678,609.3991382708563,GasA,Ex,Y,FuseF,918.6492607217756,778.9748631125216,74.88082922512446,1111.1499471609748,0,0,2,1,2,1,Gd,4,Typ,0,Po,Basment,2003.640837808308,RFn,2,387.35055390808475,TA,TA,Y,0.0,149.8918514880134,0.0,6.471010470459456,0.0,8.038500830482322,Fa,,,0.0,6,2006,COD,Normal,136710.04421961453
60,RL,37.23712057855902,5337.409751579796,Grvl,Grvl,IR2,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,RRAe,1Fam,2Story,7,5,1998.873266735031,2019.6747178520832,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,Unf,385.4640088908325,Unf,0.0,1305.627307516487,988.0922817343653,GasA,Ex,Y,SBrkr,1000.6171868356043,1162.938086441923,0.0,1472.3505980222576,0,0,2,1,4,1,Gd,8,Typ,1,Gd,BuiltIn,2002.658473818122,Fin,2,519.4631911550774,TA,TA,Y,165.36950768461517,59.27910870306319,0.0,8.458782932102912,0.0,4.121803585725687,,GdWo,,166.97437559642165,9,2006,WD,Normal,174309.78114317753
20,C (all),,4901.563297090572,Pave,,IR3,Low,NoSeWa,Inside,Mod,SawyerW,Norm,Norm,1Fam,SLvl,7,5,1996.5178353114723,1995.9013200834713,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,145.0,Gd,TA,PConc,Gd,,Gd,GLQ,1280.865418300216,Unf,0.0,0.0,1520.7378414324735,GasA,Gd,Y,SBrkr,1806.860115266475,0.0,0.0,1771.1607260344015,1,1,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1990.2933632140896,,2,713.4703269708618,Ex,TA,Y,121.53909366044013,0.0,0.0,15.358662723883809,427.8031678766681,3.5020779969482128,,GdWo,,0.0,8,2009,WD,Normal,262801.01223297324
